"","treeID","nodeID","parmID","contPT","mwcpSZ"
"920",17,18,0,NA,0
"921",17,17,0,NA,0
"922",17,15,0,NA,0
"923",17,14,0,NA,0
"924",17,13,1,61,0
"925",17,13,1,60,0
"926",17,13,0,NA,0
"927",17,20,0,NA,0
"928",17,19,1,63,0
"929",17,19,1,62,0
"930",17,19,0,NA,0
"931",17,22,0,NA,0
"932",17,21,1,64,0
"933",17,21,0,NA,0
"934",17,23,1,65,0
"935",17,23,0,NA,0
"936",17,24,0,NA,0
"937",17,2,1,71,0
"938",17,2,1,68,0
"939",17,2,1,67,0
"940",17,2,0,NA,0
"941",17,27,0,NA,0
"942",17,26,1,70,0
"943",17,26,1,69,0
"944",17,26,0,NA,0
"945",17,29,0,NA,0
"946",17,28,0,NA,0
"947",17,25,0,NA,0
"948",18,1,1,35,0
"949",18,1,0,NA,0
"950",18,2,1,69,0
"951",18,2,1,54,0
"952",18,2,1,49,0
"953",18,2,1,48,0
"954",18,2,1,43,0
"955",18,2,1,38,0
"956",18,2,1,37,0
"957",18,2,0,NA,0
"958",18,9,0,NA,0
"959",18,8,1,39,0
"960",18,8,0,NA,0
"961",18,10,1,42,0
"962",18,10,0,NA,0
"963",18,11,0,NA,0
"964",18,7,0,NA,0
"965",18,6,0,NA,0
"966",18,5,1,53,0
"967",18,5,1,50,0
"968",18,5,0,NA,0
"969",18,13,0,NA,0
"970",18,12,0,NA,0
"971",18,4,1,55,0
"972",18,4,0,NA,0
"973",18,14,1,63,0
"974",18,14,1,62,0
"975",18,14,1,60,0
"976",18,14,1,57,0
"977",18,14,0,NA,0
"978",18,18,0,NA,0
"979",18,17,1,61,0
"980",18,17,0,NA,0
"981",18,19,0,NA,0
"982",18,16,0,NA,0
"983",18,15,1,65,0
"984",18,15,1,64,0
"985",18,15,0,NA,0
"986",18,21,0,NA,0
"987",18,20,1,66,0
"988",18,20,0,NA,0
"989",18,22,1,67,0
"990",18,22,0,NA,0
"991",18,23,1,68,0
"992",18,23,0,NA,0
"993",18,24,0,NA,0
"994",18,3,1,70,0
"995",18,3,0,NA,0
"996",18,25,1,71,0
"997",18,25,0,NA,0
"998",18,26,0,NA,0
"999",19,1,1,58,0
"1000",19,1,1,46,0
"1001",19,1,1,35,0
"1002",19,1,0,NA,0
"1003",19,4,1,38,0
"1004",19,4,0,NA,0
"1005",19,5,1,40,0
"1006",19,5,0,NA,0
"1007",19,6,1,41,0
"1008",19,6,0,NA,0
"1009",19,7,1,44,0
"1010",19,7,1,43,0
"1011",19,7,1,42,0
"1012",19,7,0,NA,0
"1013",19,10,0,NA,0
"1014",19,9,0,NA,0
"1015",19,8,1,45,0
"1016",19,8,0,NA,0
"1017",19,11,0,NA,0
"1018",19,3,1,53,0
